assembly_accession	bioproject	biosample	wgs_master	refseq_category	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	submitter	gbrs_paired_asm	paired_asm_comp	ftp_path	excluded_from_refseq	relation_to_type_material
GCA_000233375.4	PRJNA72713	SAMN02749551	AGKD00000000.4	representative genome	8030	8030	Salmo salar	breed=double haploid	Sally	latest	Chromosome	Major	Full	10/06/2015	ICSASG_v2	International Cooperation to Sequence the Atlantic Salmon Genome	GCF_000233375.1	different	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/233/375/GCA_000233375.4_ICSASG_v2		
GCA_002910315.2	PRJNA348349	SAMN06561764	PPUY00000000.1	representative genome	8036	8036	Salvelinus alpinus		IW2-2015	latest	Chromosome	Major	Full	12/02/2018	ASM291031v2	University of Victoria	GCF_002910315.2	different	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/910/315/GCA_002910315.2_ASM291031v2		
GCA_000231765.1	PRJNA41391	SAMEA3138401	CAEA00000000.1	representative genome	8049	8049	Gadus morhua			latest	Scaffold	Major	Full	26/08/2011	GadMor_May2010	Genofisk	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/231/765/GCA_000231765.1_GadMor_May2010		
GCA_900291075.1	PRJEB25074	SAMEA104602249	OLKM00000000.1	representative genome	8056	8056	Melanogrammus aeglefinus			latest	Scaffold	Major	Full	19/03/2018	MAEA_1	CEES	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/291/075/GCA_900291075.1_MAEA_1		
GCA_000826765.1	PRJNA177717	SAMN03277211	JXMV00000000.1	representative genome	8078	8078	Fundulus heteroclitus		Maine	latest	Scaffold	Major	Full	21/01/2015	Fundulus_heteroclitus-3.0.2	The Genome Institute at Washington University School of Medicine	GCF_000826765.1	different	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/826/765/GCA_000826765.1_Fundulus_heteroclitus-3.0.2		
GCA_000633615.2	PRJNA238429	SAMN02404645	AZHG00000000.1	representative genome	8081	8081	Poecilia reticulata	strain=Guanapo		latest	Chromosome	Major	Full	28/04/2014	Guppy_female_1.0+MT	Max Planck Institute for Developmental Biology	GCF_000633615.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/633/615/GCA_000633615.2_Guppy_female_1.0_MT		
GCA_000241075.1	PRJNA72525	SAMN02981361	AGAJ00000000.1	na	8083	8083	Xiphophorus maculatus	strain=JP 163 A	XMAC-090115_JP163A	latest	Scaffold	Major	Full	06/01/2012	Xiphophorus_maculatus-4.4.2	The Genome Institute,  Washington University at St. Louis	GCF_000241075.1	different	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/241/075/GCA_000241075.1_Xiphophorus_maculatus-4.4.2		
GCA_002775205.2	PRJNA72525	SAMN08025980	PGSD00000000.1	representative genome	8083	8083	Xiphophorus maculatus	strain=JP 163 A		latest	Chromosome	Major	Full	07/12/2017	X_maculatus-5.0-male	The Genome Institute, Washington University at St. Louis	GCF_002775205.1	different	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/775/205/GCA_002775205.2_X_maculatus-5.0-male		
GCA_001443345.1	PRJNA290782	SAMN03968850	LNCB00000000.1	representative genome	8084	8084	Xiphophorus hellerii	strain=Sarabia		latest	Scaffold	Major	Full	13/11/2015	Xiphophorus_hellerii-3.0.1	McDonnell Genome Institute - Washington University School of Medicine	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/443/345/GCA_001443345.1_Xiphophorus_hellerii-3.0.1		
GCA_000151825.1	PRJNA19569	SAMD00036522	BAAE00000000.1	na	8090	8090	Oryzias latipes	strain=HNI		latest	Scaffold	Major	Full	26/04/2007	ASM15182v1	Medaka genome sequencing project	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/151/825/GCA_000151825.1_ASM15182v1		
GCA_000313675.1	PRJNA16702	SAMD00036523	BAAF00000000.4	na	8090	8090	Oryzias latipes	strain=Hd-rR		latest	Chromosome	Major	Full	09/05/2007	ASM31367v1	Medaka genome sequencing project	GCF_000313675.1	different	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/313/675/GCA_000313675.1_ASM31367v1		
GCA_002234675.1	PRJNA325079	SAMN06689957		representative genome	8090	8090	Oryzias latipes	strain=Hd-rR		latest	Chromosome	Major	Full	27/07/2017	ASM223467v1	The University of Tokyo	GCF_002234675.1	different	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/234/675/GCA_002234675.1_ASM223467v1		
GCA_002234695.1	PRJNA325194	SAMN06690114		na	8090	8090	Oryzias latipes	strain=HSOK		latest	Chromosome	Major	Full	27/07/2017	ASM223469v1	The University of Tokyo	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/234/695/GCA_002234695.1_ASM223469v1		
GCA_002234715.1	PRJNA325193	SAMN06689975		na	8090	8090	Oryzias latipes	strain=HNI		latest	Chromosome	Major	Full	27/07/2017	ASM223471v1	The University of Tokyo	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/234/715/GCA_002234715.1_ASM223471v1		
GCA_000188235.2	PRJNA59571	SAMN00117560	AERX00000000.1	na	8128	8128	Oreochromis niloticus		000638D3DF	latest	Chromosome	Major	Full	08/02/2012	Orenil1.1	Broad Institute	GCF_000188235.2	different	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/188/235/GCA_000188235.2_Orenil1.1		
GCA_001858045.2	PRJNA344471	SAMN05859795	MKQE00000000.1	representative genome	8128	8128	Oreochromis niloticus		F11D_XX	latest	Chromosome	Major	Full	21/11/2016	ASM185804v2	University of Maryland	GCF_001858045.1	different	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/858/045/GCA_001858045.2_ASM185804v2		
GCA_000239415.1	PRJNA60363	SAMN00139641	AFNZ00000000.1	representative genome	8153	8153	Haplochromis burtoni		A. burtoni ID#24_Hofmann	latest	Scaffold	Major	Full	22/12/2011	AstBur1.0	Broad Institute	GCF_000239415.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/239/415/GCA_000239415.1_AstBur1.0		
GCA_900246225.1	PRJEB24325	SAMEA104026430	OFHY00000000.1	representative genome	8154	8154	Astatotilapia calliptera			latest	Scaffold	Major	Full	17/01/2018	fAstCal1.1	SC	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/246/225/GCA_900246225.1_fAstCal1.1		
GCA_002207885.1	PRJDB5349	SAMD00068660	BDJM00000000.1	na	8161	8161	Seriola quinqueradiata		Squ1	latest	Scaffold	Major	Full	12/06/2017	Squ_1.0	Faculty of Bioresources, Mie university	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/207/885/GCA_002207885.1_Squ_1.0		
GCA_002217815.1	PRJDB5854	SAMD00083042	BDMU00000000.1	representative genome	8161	8161	Seriola quinqueradiata		Squ1	latest	Scaffold	Major	Full	05/07/2017	Squ_2.0	Natinal Research Insititute of Aquaculture, FRA	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/217/815/GCA_002217815.1_Squ_2.0		
GCA_001010145.1	PRJNA280691	SAMN03466679	LBLR00000000.1	na	8187	8187	Lates calcarifer	breed=P12C03		latest	Scaffold	Major	Full	18/05/2015	ASM101014v1	James Cook University	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/010/145/GCA_001010145.1_ASM101014v1		
GCA_001640805.1	PRJNA294489	SAMN04026617	LLXD00000000.1	representative genome	8187	8187	Lates calcarifer		ASB-BC8	latest	Scaffold	Major	Full	09/05/2016	ASM164080v1	Temasek Life Sciences Laboratory	GCF_001640805.1	different	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/640/805/GCA_001640805.1_ASM164080v1		
GCA_900066035.1	PRJEB10637	SAMEA3519091	CYIF00000000.1	na	8187	8187	Lates calcarifer			latest	Scaffold	Major	Full	02/03/2017	ASB_HGAPassembly_v1	TEMASEK LIFE SCIENCES LABORATORY	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/066/035/GCA_900066035.1_ASB_HGAPassembly_v1		
GCA_900066045.1	PRJEB10637	SAMEA3519091	CYIE00000000.1	na	8187	8187	Lates calcarifer			latest	Contig	Major	Full	02/03/2017	ASB_FALCONassembly_v1	TEMASEK LIFE SCIENCES LABORATORY	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/066/045/GCA_900066045.1_ASB_FALCONassembly_v1		
GCA_000735185.1	PRJNA66471	SAMN02206445	AZAD00000000.1	representative genome	8208	8208	Notothenia coriiceps		Sejong01	latest	Scaffold	Major	Full	29/07/2014	NC01	Antarctic Fish Genome Project	GCF_000735185.1	different	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/735/185/GCA_000735185.1_NC01		
GCA_000418415.1	PRJDA68701	SAMD00036584	BADN00000000.1	representative genome	8238	8238	Thunnus orientalis		isolate 2	latest	Contig	Major	Full	27/06/2013	Thunnus_orientalis_ver_Ba_1.0	National Research Institute of Fisheries Science	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/418/415/GCA_000418415.1_Thunnus_orientalis_ver_Ba_1.0		
GCA_001904815.2	PRJNA73673	SAMN05981185	AGQT00000000.2	na	8255	8255	Paralichthys olivaceus		ysfri_paol	latest	Chromosome	Major	Full	15/03/2017	ParOli_1.1	Yellow Sea Fisheries Research Institute, CAFS	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/904/815/GCA_001904815.2_ParOli_1.1		
GCA_001970005.2	PRJNA344006	SAMN05817825	MPLB00000000.1	representative genome	8255	8255	Paralichthys olivaceus	breed=gynogenesis		latest	Scaffold	Major	Full	24/01/2017	Flounder_ref_guided_V1.0	Tsinghua University	GCF_001970005.1	different	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/970/005/GCA_001970005.2_Flounder_ref_guided_V1.0		
GCA_001455525.1	PRJNA269757	SAMN03256323	JXRH00000000.1	na	8296	8296	Ambystoma mexicanum	strain=laboratory		latest	Scaffold	Major	Partial	25/11/2015	AmbMex13_14.1.0	University of Kentucky	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/455/525/GCA_001455525.1_AmbMex13_14.1.0		
GCA_002915635.1	PRJNA378970	SAMN06554622	PGSH00000000.1	representative genome	8296	8296	Ambystoma mexicanum	strain=DD151		latest	Scaffold	Major	Full	05/02/2018	ASM291563v1	Max Planck Society	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/915/635/GCA_002915635.1_ASM291563v1		
GCA_001663975.1	PRJNA313213	SAMN04518361	LYTH00000000.1	representative genome	8355	8355	Xenopus laevis	strain=J		latest	Chromosome	Major	Full	09/08/2016	Xenopus_laevis_v2	International Xenopus Sequencing Consortium	GCF_001663975.1	different	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/663/975/GCA_001663975.1_Xenopus_laevis_v2		
GCA_000004195.3	PRJNA12348	SAMN00000117	AAMC00000000.3	representative genome	8364	8364	Xenopus tropicalis	strain=Nigerian		latest	Chromosome	Major	Full	13/07/2016	Xenopus_tropicalis_v9.1	DOE Joint Genome Institute	GCF_000004195.3	different	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/004/195/GCA_000004195.3_Xenopus_tropicalis_v9.1		
GCA_900303285.1	PRJEB24695	SAMEA104558286	ONZH00000000.1	representative genome	8386	8386	Rhinella marina			latest	Contig	Major	Full	26/03/2018	RM170330	UNIVERSITY OF NEW SOUTH WALES	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/303/285/GCA_900303285.1_RM170330		
GCA_002284835.2	PRJNA285814	SAMN03760860	LIAG000000000.2	representative genome	8400	8400	Rana catesbeiana		Bruno	latest	Scaffold	Major	Full	01/09/2017	RCv2.1	BC Cancer Agency	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/284/835/GCA_002284835.2_RCv2.1		
GCA_000344595.1	PRJNA104937	SAMN02981410	AJIM00000000.1	representative genome	8469	8469	Chelonia mydas			latest	Scaffold	Major	Full	18/03/2013	CheMyd_1.0	BGI	GCF_000344595.1	different	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/344/595/GCA_000344595.1_CheMyd_1.0		
GCA_000241765.2	PRJNA78657	SAMN02713681	AHGY00000000.2	representative genome	8478	8479	Chrysemys picta bellii		RCT428	latest	Chromosome	Major	Full	31/03/2014	Chrysemys_picta_bellii-3.0.3	Painted turtle genome sequencing consortium	GCF_000241765.3	different	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/241/765/GCA_000241765.2_Chrysemys_picta_bellii-3.0.3		
GCA_001728815.2	PRJNA339452	SAMN05591378	MDXI00000000.1	representative genome	391341	8485	Malaclemys terrapin terrapin			latest	Contig	Minor	Full	20/09/2016	terp_v2_2	University of Maryland	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/728/815/GCA_001728815.2_terp_v2_2		
GCA_000281125.4	PRJNA159843	SAMN02981418	AKHW00000000.3	representative genome	8496	8496	Alligator mississippiensis		KSC_2009_1	latest	Scaffold	Major	Full	28/03/2016	ASM28112v4	International Crocodilian Genomes Working Group	GCF_000281125.3	different	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/281/125/GCA_000281125.4_ASM28112v4		
GCA_001541155.1	PRJNA305630	SAMN02981418	LPUV00000000.1	na	8496	8496	Alligator mississippiensis		KSC_2009_1	latest	Scaffold	Major	Full	26/01/2016	Algmis_Hirise_1.0	Dovetail Genomics	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/541/155/GCA_001541155.1_Algmis_Hirise_1.0		
GCA_001541185.1	PRJNA301461	SAMN02981418	LPUU00000000.1	na	8496	8496	Alligator mississippiensis		KSC_2009_1	latest	Scaffold	Major	Full	26/01/2016	Algmis_1.0	Dovetail Genomics	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/541/185/GCA_001541185.1_Algmis_1.0		
GCA_000768395.1	PRJNA163131	SAMN03102602	JRXG00000000.1	na	8502	8502	Crocodylus porosus		Cpor-Errol	latest	Scaffold	Major	Full	24/10/2014	Cpor_2.0	The International Crocodilian Genomes Working Group	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/768/395/GCA_000768395.1_Cpor_2.0		
GCA_001723895.1	PRJNA163131	SAMN03102602	MDVP00000000.1	representative genome	8502	8502	Crocodylus porosus		Cpor-Errol	latest	Scaffold	Major	Full	13/09/2016	CroPor_comp1	Mississippi State University	GCF_001723895.1	different	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/723/895/GCA_001723895.1_CroPor_comp1		
GCA_000516915.1	PRJNA201683	SAMN02439592	AZIM00000000.1	representative genome	8665	8665	Ophiophagus hannah			latest	Scaffold	Major	Full	11/12/2013	OphHan1.0	Naturalis Biodiversity Center	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/516/915/GCA_000516915.1_OphHan1.0		
GCA_000698965.1	PRJNA212875	SAMN02316164	JJRT00000000.1	representative genome	441894	8801	Struthio camelus australis		BGI_N308	latest	Scaffold	Major	Full	06/06/2014	ASM69896v1	BGI	GCF_000698965.1	different	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/698/965/GCA_000698965.1_ASM69896v1		
GCA_001039765.2	PRJEB6383	SAMEA2560515		representative genome	202946	8822	Apteryx australis mantelli			latest	Scaffold	Major	Full	23/06/2015	AptMant0	MPI-EVA	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/039/765/GCA_001039765.2_AptMant0		
GCA_000355885.1	PRJNA46621	SAMN00011637	ADON00000000.1	representative genome	8839	8839	Anas platyrhynchos	breed=Pekin duck		latest	Scaffold	Major	Full	26/04/2013	BGI_duck_1.0	State Key Laboratory for Agrobiotechnology, China Agricultural University, Beijing	GCF_000355885.1	different	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/355/885/GCA_000355885.1_BGI_duck_1.0		
GCA_002224895.1	PRJNA392350	SAMN07337762	NOIJ00000000.1	na	8839	8839	Anas platyrhynchos	breed=mallard		latest	Scaffold	Major	Full	25/07/2017	ASM222489v1	BGI	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/224/895/GCA_002224895.1_ASM222489v1		
GCA_002743455.1	PRJNA403935	SAMN07569716	PEDO00000000.1	na	8840	8839	Anas platyrhynchos platyrhynchos	breed=Pekin duck		latest	Chromosome	Major	Full	03/11/2017	CAU_duck1.0	China Agricultural University	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/743/455/GCA_002743455.1_CAU_duck1.0		
GCA_000971095.1	PRJNA183603	SAMN01830643	AOGC00000000.1	representative genome	381198	8845	Anser cygnoides domesticus	breed=Zhedong		latest	Scaffold	Major	Full	08/04/2015	AnsCyg_PRJNA183603_v1.0	Anser cygnoides Genome consortium	GCF_000971095.1	different	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/971/095/GCA_000971095.1_AnsCyg_PRJNA183603_v1.0		
GCA_002166845.1	PRJNA253976	SAMN02898389	LABU00000000.1	na	8845	8845	Anser cygnoides	breed=Sichuan white goose	SCWG-2014	latest	Scaffold	Major	Full	02/06/2017	GooseV1.0	Poultry Science Institute	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/166/845/GCA_002166845.1_GooseV1.0		
GCA_000747805.1	PRJNA210808	SAMN03018471	AVOS00000000.1	representative genome	8897	8897	Chaetura pelagica		M959	latest	Scaffold	Major	Full	04/09/2014	ChaPel_1.0	BGI	GCF_000747805.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/747/805/GCA_000747805.1_ChaPel_1.0		
