#Organism/Name	TaxID	BioProject Accession	BioProject ID	Group	SubGroup	Size (Mb)	GC%	Assembly Accession	Replicons	WGS	Scaffolds	Genes	Proteins	Release Date	Modify Date	Status	Center	BioSample Accession
Loxodonta africana	9785	PRJNA12569	12569	Animals	Mammals	3196.74	40.9	GCA_000001905.1	mitochondrion MT:NC_000934.1/AJ224821.1	AAGU03	2352	25649	29784	2005/05/18	2014/08/06	Scaffold	Broad Institute	SAMN02953622
Notamacropus eugenii	9315	PRJNA12587	12587	Animals	Mammals	3075.18	40.4	GCA_000004035.1	-	ABQO01	277711	-	-	2008/11/26	2014/08/26	Scaffold	Tammar Wallaby Genome Sequencing Consortium	-
Echinops telfairi	9371	PRJNA12590	12590	Animals	Mammals	2947.02	43.6	GCA_000313985.1	mitochondrion MT:NC_002631.2/AJ400734.2	AAIY02	8402	25811	22926	2005/08/16	2013/11/06	Scaffold	Broad Institute	SAMN00216137
Dasypus novemcinctus	9361	PRJNA196486	196486	Animals	Mammals	3631.52	41.5	GCA_000208655.2	mitochondrion MT:NC_001821.1/Y11832.1	AAGV03	46559	34097	38202	2005/05/14	2014/08/06	Scaffold	NCBI	SAMN02953623
Cavia porcellus	10141	PRJNA12583	12583	Animals	Mammals	2723.22	40.1	GCA_000151735.1	mitochondrion MT:NC_000884.1/AJ222767.1	AAKN02	3144	27805	37720	2005/11/04	2014/08/11	Scaffold	The Genome Sequencing Platform, The Genome Assembly Team	SAMN02981223
Sorex araneus	42254	PRJNA13689	13689	Animals	Mammals	2423.16	43.4	GCA_000181275.2	-	AALT02	12845	21961	23427	2005/11/05	2013/11/01	Scaffold	Broad Institute	SAMN00210854
Oryctolagus cuniculus	9986	PRJNA12819	12819	Animals	Mammals	2737.46	44.0526	GCA_000003625.1	chromosome 1:NC_013669.1/CM000790.1; chromosome 2:NC_013670.1/CM000791.1; chromosome 3:NC_013671.1/CM000792.1; chromosome 4:NC_013672.1/CM000793.1; chromosome 5:NC_013673.1/CM000794.1; chromosome 6:NC_013674.1/CM000795.1; chromosome 7:NC_013675.1/CM000796.1; chromosome 8:NC_013676.1/CM000797.1; chromosome 9:NC_013677.1/CM000798.1; chromosome 10:NC_013678.1/CM000799.1; chromosome 11:NC_013679.1/CM000800.1; chromosome 12:NC_013680.1/CM000801.1; chromosome 13:NC_013681.1/CM000802.1; chromosome 14:NC_013682.1/CM000803.1; chromosome 15:NC_013683.1/CM000804.1; chromosome 16:NC_013684.1/CM000805.1; chromosome 17:NC_013685.1/CM000806.1; chromosome 18:NC_013686.1/CM000807.1; chromosome 19:NC_013687.1/CM000808.1; chromosome 20:NC_013688.1/CM000809.1; chromosome 21:NC_013689.1/CM000810.1; chromosome X:NC_013690.1/CM000811.1; mitochondrion MT:NC_001913.1/AJ001588.1	AAGW02	3318	29098	38463	2005/05/13	2014/08/06	Chromosome	The Genome Sequencing Platform, The Assembly Computation and Development Core Team	SAMN02953624
Salmo salar	8030	PRJNA287919	287919	Animals	Fishes	2966.89	43.8912	GCA_000233375.4	chromosome ssa01:NC_027300.1/CM003279.1; chromosome ssa02:NC_027301.1/CM003280.1; chromosome ssa03:NC_027302.1/CM003281.1; chromosome ssa04:NC_027303.1/CM003282.1; chromosome ssa05:NC_027304.1/CM003283.1; chromosome ssa06:NC_027305.1/CM003284.1; chromosome ssa07:NC_027306.1/CM003285.1; chromosome ssa08:NC_027307.1/CM003286.1; chromosome ssa09:NC_027308.1/CM003287.1; chromosome ssa10:NC_027309.1/CM003288.1; chromosome ssa11:NC_027310.1/CM003289.1; chromosome ssa12:NC_027311.1/CM003290.1; chromosome ssa13:NC_027312.1/CM003291.1; chromosome ssa14:NC_027313.1/CM003292.1; chromosome ssa15:NC_027314.1/CM003293.1; chromosome ssa16:NC_027315.1/CM003294.1; chromosome ssa17:NC_027316.1/CM003295.1; chromosome ssa18:NC_027317.1/CM003296.1; chromosome ssa19:NC_027318.1/CM003297.1; chromosome ssa20:NC_027319.1/CM003298.1; chromosome ssa21:NC_027320.1/CM003299.1; chromosome ssa22:NC_027321.1/CM003300.1; chromosome ssa23:NC_027322.1/CM003301.1; chromosome ssa24:NC_027323.1/CM003302.1; chromosome ssa25:NC_027324.1/CM003303.1; chromosome ssa26:NC_027325.1/CM003304.1; chromosome ssa27:NC_027326.1/CM003305.1; chromosome ssa28:NC_027327.1/CM003306.1; chromosome ssa29:NC_027328.1/CM003307.1; mitochondrion MT:NC_001960.1/U12143.1	AGKD04	241573	59213	97738	2011/10/25	2015/06/11	Chromosome	NCBI	SAMN02749551
Papio anubis	9555	PRJNA54005	54005	Animals	Mammals	2959.37	41.0402	GCA_000264685.2	chromosome 1:NC_018152.2/CM001491.2; chromosome 2:NC_018153.2/CM001492.2; chromosome 3:NC_018154.2/CM001493.2; chromosome 4:NC_018155.2/CM001494.2; chromosome 5:NC_018156.2/CM001495.2; chromosome 6:NC_018157.2/CM001496.2; chromosome 7:NC_018158.2/CM001497.2; chromosome 8:NC_018159.2/CM001498.2; chromosome 9:NC_018160.2/CM001499.2; chromosome 10:NC_018161.2/CM001500.2; chromosome 11:NC_018162.2/CM001501.2; chromosome 12:NC_018163.2/CM001502.2; chromosome 13:NC_018164.2/CM001503.2; chromosome 14:NC_018165.2/CM001504.2; chromosome 15:NC_018166.2/CM001505.2; chromosome 16:NC_018167.2/CM001506.2; chromosome 17:NC_018168.2/CM001507.2; chromosome 18:NC_018169.2/CM001508.2; chromosome 19:NC_018170.2/CM001509.2; chromosome 20:NC_018171.2/CM001510.2; chromosome X:NC_018172.2/CM001511.2; mitochondrion MT:NC_020006.2/JX946196.2	AHZZ02	71135	35218	66659	2012/05/30	2017/04/20	Chromosome	Baylor College of Medicine	SAMN02981400
Otolemur garnettii	30611	PRJNA16955	16955	Animals	Mammals	2519.72	41.5	GCA_000181295.3	-	AAQR03	7793	25777	26925	2006/06/02	2014/08/11	Scaffold	Broad Institute	SAMN02981229
Tupaia belangeri	37347	PRJNA13971	13971	Animals	Mammals	2137.23	41.4	GCA_000181375.1	-	AAPY01	841006	-	-	2006/06/08	2014/08/26	Contig	Broad Institute	SAMN03004381
Nomascus leucogenys	61853	PRJNA13975	13975	Animals	Mammals	2962.06	41.3958	GCA_000146795.3	chromosome 1a:NC_019816.1/CM001646.1; chromosome 2:NC_019817.1/CM001648.1; chromosome 3:NC_019818.1/CM001649.1; chromosome 4:NC_019819.1/CM001650.1; chromosome 5:NC_019820.1/CM001651.1; chromosome 6:NC_019821.1/CM001652.1; chromosome 7b:NC_019822.1/CM001653.1; chromosome 8:NC_019823.1/CM001654.1; chromosome 9:NC_019824.1/CM001655.1; chromosome 10:NC_019825.1/CM001656.1; chromosome 11:NC_019826.1/CM001657.1; chromosome 12:NC_019827.1/CM001658.1; chromosome 13:NC_019828.1/CM001659.1; chromosome 14:NC_019829.1/CM001660.1; chromosome 15:NC_019830.1/CM001661.1; chromosome 16:NC_019831.1/CM001662.1; chromosome 17:NC_019832.1/CM001663.1; chromosome 18:NC_019833.1/CM001664.1; chromosome 19:NC_019834.1/CM001665.1; chromosome 20:NC_019835.1/CM001666.1; chromosome 21:NC_019836.1/CM001667.1; chromosome 22a:NC_019837.1/CM001647.1; chromosome 23:NC_019838.1/CM001668.1; chromosome 24:NC_019839.1/CM001669.1; chromosome 25:NC_019840.1/CM001670.1; chromosome X:NC_019841.1/CM001671.1	ADFV01	17524	28462	38654	2010/08/31	2014/09/05	Chromosome	Gibbon Genome Sequencing Consortium	SAMN02981257
Myotis lucifugus	59463	PRJNA16951	16951	Animals	Mammals	2034.58	42.7	GCA_000147115.1	-	AAPE02	11654	29200	41184	2006/06/01	2014/08/06	Scaffold	Broad Institute	SAMN02953645
Callorhinchus milii	7868	PRJNA18361	18361	Animals	Fishes	974.499	42.5998	GCA_000165045.2	mitochondrion MT:NC_014285.1/HM147137.1	AAVX02	21204	33094	28237	2007/01/05	2013/12/20	Scaffold	Institute of Molecular and Cell Biology, Singapore	SAMN00000800
Anolis carolinensis	28377	PRJNA18787	18787	Animals	Reptiles	1799.14	40.8238	GCA_000090745.2	chromosome 1:NC_014776.1/CM000937.1; chromosome 2:NC_014777.1/CM000938.1; chromosome 3:NC_014778.1/CM000939.1; chromosome 4:NC_014779.1/CM000940.1; chromosome 5:NC_014780.1/CM000941.1; chromosome 6:NC_014781.1/CM000942.1; linkage group a:NC_014782.1/CM000943.1; linkage group b:NC_014783.1/CM000944.1; linkage group c:NC_014784.1/CM000945.1; linkage group d:NC_014785.1/CM000946.1; linkage group f:NC_014786.1/CM000947.1; linkage group g:NC_014787.1/CM000948.1; linkage group h:NC_014788.1/CM000949.1; mitochondrion MT:NC_010972.2/EU747728.2	AAWZ02	6646	22092	34827	2007/02/15	2014/08/11	Chromosome	Broad Institute	SAMN02981230
Fundulus heteroclitus	8078	PRJNA286680	286680	Animals	Fishes	1021.9	41.2	GCA_000826765.1	mitochondrion MT:NC_012312.1/FJ445402.1	JXMV01	10180	25849	38234	2015/01/20	2015/01/21	Scaffold	NCBI	SAMN03277211
Pteropus vampyrus	132908	PRJNA20325	20325	Animals	Mammals	2198.28	40.5	GCA_000151845.2	-	ABRP02	36094	23423	33311	2008/09/12	2014/12/05	Scaffold	Baylor College of Medicine	SAMN02894360
Dipodomys ordii	10020	PRJNA20385	20385	Animals	Mammals	2236.37	42.6	GCA_000151885.2	-	ABRO02	65193	23266	29351	2008/09/18	2014/12/12	Scaffold	Baylor College of Medicine	SAMN02900551
Microcebus murinus	30608	PRJNA19967	19967	Animals	Mammals	2487.41	41.3423	GCA_000165445.3	chromosome 1:NC_033660.1/CM007661.1; chromosome 2:NC_033661.1/CM007662.1; chromosome 3:NC_033662.1/CM007663.1; chromosome 4:NC_033663.1/CM007664.1; chromosome 5:NC_033664.1/CM007665.1; chromosome 6:NC_033665.1/CM007666.1; chromosome 7:NC_033666.1/CM007667.1; chromosome 8:NC_033667.1/CM007668.1; chromosome 9:NC_033668.1/CM007669.1; chromosome 10:NC_033669.1/CM007670.1; chromosome 11:NC_033670.1/CM007671.1; chromosome 12:NC_033671.1/CM007672.1; chromosome 13:NC_033672.1/CM007673.1; chromosome 14:NC_033673.1/CM007674.1; chromosome 15:NC_033674.1/CM007675.1; chromosome 16:NC_033675.1/CM007676.1; chromosome 17:NC_033676.1/CM007677.1; chromosome 18:NC_033677.1/CM007678.1; chromosome 19:NC_033678.1/CM007679.1; chromosome 20:NC_033679.1/CM007680.1; chromosome 21:NC_033680.1/CM007681.1; chromosome 22:NC_033681.1/CM007682.1; chromosome 23:NC_033682.1/CM007683.1; chromosome 24:NC_033683.1/CM007684.1; chromosome 25:NC_033684.1/CM007685.1; chromosome 26:NC_033685.1/CM007686.1; chromosome 27:NC_033686.1/CM007687.1; chromosome 28:NC_033687.1/CM007688.1; chromosome 29:NC_033688.1/CM007689.1; chromosome 30:NC_033689.1/CM007690.1; chromosome 31:NC_033690.1/CM007691.1; chromosome 32:NC_033691.1/CM007692.1; chromosome X:NC_033692.1/CM007693.1; mitochondrion MT:NC_028718.1/KR911908.1	ABDC03	7678	31854	59023	2007/07/20	2017/02/06	Chromosome	Broad Institute	SAMN06275470
Galeopterus variegatus	482537	PRJNA20511	20511	Animals	Mammals	3187.66	41.2	GCA_000696425.1	mitochondrion MT:NC_004031.1/AJ428849.1	JMZW01	179514	28608	32104	2014/05/23	2014/06/05	Scaffold	Washington University (WashU)	SAMN01758971
Vicugna pacos	30538	PRJNA30567	30567	Animals	Mammals	2172.21	41.7	GCA_000164845.3	mitochondrion MT:NC_002504.1/Y19184.1	ABRR02	276725	24553	33208	2008/09/24	2014/08/04	Scaffold	Washington University (WashU)	SAMN01096418
Choloepus hoffmanni	9358	PRJNA30809	30809	Animals	Mammals	3286.01	40	GCA_000164785.2	-	ABVD02	269084	-	-	2008/09/15	2014/09/30	Scaffold	Broad Institute	SAMN02146716
Gadus morhua	8049	PRJNA41391	41391	Animals	Fishes	824.311	46.3	GCA_000231765.1	-	CAEA01	427427	-	-	2011/08/25	2016/06/25	Scaffold	Genofisk	SAMEA3138401
Haplochromis burtoni	8153	PRJNA60363	60363	Animals	Fishes	831.412	41.9	GCA_000239415.1	-	AFNZ01	8001	26625	44653	2011/12/20	2015/04/28	Scaffold	Broad Institute	SAMN00139641
Neolamprologus brichardi	32507	PRJNA60365	60365	Animals	Fishes	847.91	42.0001	GCA_000239395.1	mitochondrion MT:NC_009062.1/AP006014.1	AFNY01	9099	25031	31372	2011/12/20	2015/04/28	Scaffold	Broad Institute	SAMN00139653
Pundamilia nyererei	303518	PRJNA60367	60367	Animals	Fishes	830.133	41.9	GCA_000239375.1	-	AFNX01	7236	24446	38583	2011/12/20	2015/04/28	Scaffold	Broad Institute	SAMN00149614
Odocoileus virginianus texanus	9880	PRJNA384059	384059	Animals	Mammals	2380.51	41.6	GCA_002102435.1	mitochondrion MT:NC_015247.1/HQ332445.1	MLBE01	17026	30534	48221	2017/04/20	2017/04/20	Scaffold	NCBI	SAMN05363940
Saimiri boliviensis boliviensis	39432	PRJNA67945	67945	Animals	Mammals	2608.59	41.1	GCA_000235385.1	mitochondrion MT:NC_018096.1/HQ644339.1	AGCE01	2686	27316	36241	2011/11/10	2014/08/11	Scaffold	Broad Institute	SAMN02981369
Equus asinus	9793	PRJNA304024	304024	Animals	Mammals	2391.05	41.4	GCA_001305755.1	mitochondrion MT:NC_001788.1/X97337.1	JREZ01	2167	27227	42247	2015/10/02	2015/10/02	Scaffold	NCBI	SAMN03010633
Mola mola	94237	PRJNA305960	305960	Animals	Fishes	639.452	41.2	GCA_001698575.1	-	MBDK01	5552	-	-	2016/08/03	2016/08/08	Scaffold	BGI-shenzhen	SAMN04335856
Gavia stellata	37040	PRJNA261843	261843	Animals	Birds	1129.69	41.1001	GCA_000690875.1	mitochondrion MT:NC_007007.1/AY293618.1	JJRM01	61831	14770	15697	2014/05/03	2016/11/17	Scaffold	NCBI	SAMN02324832
Rousettus aegyptiacus	9407	PRJNA309421	309421	Animals	Mammals	1910.25	40	GCA_001466805.2	mitochondrion MT:NC_007393.1/AB205183.1	LOCP02	2490	24986	48803	2015/12/15	2016/03/17	Scaffold	NCBI	SAMN04287759
Nipponia nippon	128390	PRJNA253829	253829	Animals	Birds	1223.86	42.0001	GCA_000708225.1	mitochondrion MT:NC_008132.1/AB104902.1	JMFH01	59555	15343	17089	2014/05/09	2016/11/17	Scaffold	NCBI	SAMN02596464
Podiceps cristatus	345573	PRJNA212905	212905	Animals	Birds	1134.92	41.5	GCA_000699545.1	-	JMFS01	82923	12155	11707	2014/05/07	2016/11/17	Scaffold	BGI	SAMN02339891
Nasalis larvatus	43780	PRJNA241312	241312	Animals	Mammals	3011.97	42.2536	GCA_000772465.1	chromosome align_Mm1:CM002998.1; chromosome align_Mm10:CM002999.1; chromosome align_Mm11:CM003000.1; chromosome align_Mm12:CM003001.1; chromosome align_Mm13:CM003002.1; chromosome align_Mm14:CM003003.1; chromosome align_Mm15:CM003004.1; chromosome align_Mm16:CM003005.1; chromosome align_Mm17:CM003006.1; chromosome align_Mm18:CM003007.1; chromosome align_Mm19:CM003008.1; chromosome align_Mm2:CM003009.1; chromosome align_Mm20:CM003010.1; chromosome align_Mm3:CM003011.1; chromosome align_Mm4:CM003012.1; chromosome align_Mm5:CM003013.1; chromosome align_Mm6:CM003014.1; chromosome align_Mm7:CM003015.1; chromosome align_Mm8:CM003016.1; chromosome align_Mm9:CM003017.1; chromosome align_MmX:CM003018.1	JMHX01	319549	-	-	2014/10/30	2014/11/10	Chromosome	Proboscis Monkey Functional Genome Consortium	SAMN02689222
Rhinopithecus roxellana	61622	PRJNA266995	266995	Animals	Mammals	2899.55	41	GCA_000769185.1	mitochondrion MT:NC_008218.1/DQ355300.1	JABR01	135512	28766	37291	2014/10/24	2014/10/28	Scaffold	NCBI	SAMN02427086
Neomonachus schauinslandi	29088	PRJNA392091	392091	Animals	Mammals	2400.93	41.6	GCA_002201575.1	mitochondrion MT:NC_008421.1/AM181022.1	NINY01	7873	24618	28381	2017/06/20	2017/06/20	Scaffold	NCBI	SAMN06841387
Ammotragus lervia	9899	PRJNA361449	361449	Animals	Mammals	2650.84	40.3	GCA_002201775.1	-	NIVO01	77320	-	-	2017/06/20	2017/06/20	Scaffold	Northwest A&F University	SAMN06233879
Enhydra lutris kenyoni	391180	PRJNA407952	407952	Animals	Mammals	2455.28	41.6	GCA_002288905.2	mitochondrion MT:NC_009692.1/AB291077.1	NSES01	6771	23943	36603	2017/09/11	2017/09/15	Scaffold	NCBI	SAMN07211055
Panthera pardus	9691	PRJNA355165	355165	Animals	Mammals	2578.02	41.9	GCA_001857705.1	mitochondrion MT:NC_010641.1/EF551002.1	LQGZ01	50377	33968	57954	2016/08/24	2016/11/16	Scaffold	NCBI	SAMN04347630
Gallirallus okinawae	547194	PRJDB4707	327647	Animals	Birds	1114.53	42.7	GCA_002003005.1	-	BDFH01	768680	-	-	2016/07/01	2016/07/01	Contig	Laboratory of Ecogenetics, Environmental Biology Division, National Institute for Environmental Studies	SAMD00050839
Bison bison bison	43346	PRJNA266339	266339	Animals	Mammals	2828.03	42.2	GCA_000754665.1	mitochondrion MT:NC_012346.1/EU177871.1	JPYT01	128431	26592	35554	2014/09/15	2014/10/08	Scaffold	NCBI	SAMN02947321
Rhinopithecus bieti	61621	PRJNA339282	339282	Animals	Mammals	2977.07	41.5	GCA_001698545.1	mitochondrion MT:NC_015486.1/HM125579.1	MCGX01	105032	31734	49595	2016/08/03	2016/08/03	Scaffold	NCBI	SAMN02786331
Sinocyclocheilus grahami	75366	PRJNA316320	316320	Animals	Fishes	1750.29	38.7	GCA_001515645.1	mitochondrion MT:NC_013189.1/GQ148557.1	LCYQ01	31277	54207	67410	2015/12/16	2016/01/04	Scaffold	NCBI	SAMN03320097
Pygocentrus nattereri	42514	PRJNA331139	331139	Animals	Fishes	1285.35	40.6001	GCA_001682695.1	mitochondrion MT:NC_015840.1/AP012000.1	MAUM01	283518	28178	44364	2016/07/08	2016/07/12	Scaffold	NCBI	SAMN04522165
Chinchilla lanigera	34839	PRJNA68239	68239	Animals	Mammals	2390.87	41.4	GCA_000276665.1	mitochondrion MT:NC_021386.1/JX312692.1	AGCD01	2839	30308	45449	2012/07/06	2013/11/06	Scaffold	Broad Institute	SAMN00632093
Leptonychotes weddellii	9713	PRJNA232772	232772	Animals	Mammals	3156.9	43.8	GCA_000349705.1	mitochondrion MT:NC_008424.1/AM181025.1	APMU01	16711	25803	25718	2013/03/28	2013/03/29	Scaffold	NCBI	SAMN00672463
