Organism	TaxID	BioProject Accession	BioProject ID	Assembly Accession	WGS	Scaffolds	Genes	Proteins	Release Date	Modify Date	Status	Center	BioSample Accession
Fundulus heteroclitus	8078	PRJNA286680	286680	GCA_000826765.1	JXMV01	10180	25849	38234	20/01/2015	21/01/2015	Scaffold	NCBI	SAMN03277211
Pteropus vampyrus	132908	PRJNA20325	20325	GCA_000151845.2	ABRP02	36094	23423	33311	12/09/2008	05/12/2014	Scaffold	Baylor College of Medicine	SAMN02894360
Dipodomys ordii	10020	PRJNA20385	20385	GCA_000151885.2	ABRO02	65193	23266	29351	18/09/2008	12/12/2014	Scaffold	Baylor College of Medicine	SAMN02900551
Microcebus murinus	30608	PRJNA19967	19967	GCA_000165445.3	ABDC03	7678	31854	59023	20/07/2007	06/02/2017	Chromosome	Broad Institute	SAMN06275470
Galeopterus variegatus	482537	PRJNA20511	20511	GCA_000696425.1	JMZW01	179514	28608	32104	23/05/2014	05/06/2014	Scaffold	Washington University (WashU)	SAMN01758971
Vicugna pacos	30538	PRJNA30567	30567	GCA_000164845.3	ABRR02	276725	24553	33208	24/09/2008	04/08/2014	Scaffold	Washington University (WashU)	SAMN01096418
Choloepus hoffmanni	9358	PRJNA30809	30809	GCA_000164785.2	ABVD02	269084	-	-	15/09/2008	30/09/2014	Scaffold	Broad Institute	SAMN02146716
Gadus morhua	8049	PRJNA41391	41391	GCA_000231765.1	CAEA01	427427	-	-	25/08/2011	25/06/2016	Scaffold	Genofisk	SAMEA3138401
Haplochromis burtoni	8153	PRJNA60363	60363	GCA_000239415.1	AFNZ01	8001	26625	44653	20/12/2011	28/04/2015	Scaffold	Broad Institute	SAMN00139641
Neolamprologus brichardi	32507	PRJNA60365	60365	GCA_000239395.1	AFNY01	9099	25031	31372	20/12/2011	28/04/2015	Scaffold	Broad Institute	SAMN00139653
Pundamilia nyererei	303518	PRJNA60367	60367	GCA_000239375.1	AFNX01	7236	24446	38583	20/12/2011	28/04/2015	Scaffold	Broad Institute	SAMN00149614
Odocoileus virginianus texanus	9880	PRJNA384059	384059	GCA_002102435.1	MLBE01	17026	30534	48221	20/04/2017	20/04/2017	Scaffold	NCBI	SAMN05363940
Saimiri boliviensis boliviensis	39432	PRJNA67945	67945	GCA_000235385.1	AGCE01	2686	27316	36241	10/11/2011	11/08/2014	Scaffold	Broad Institute	SAMN02981369
Equus asinus	9793	PRJNA304024	304024	GCA_001305755.1	JREZ01	2167	27227	42247	02/10/2015	02/10/2015	Scaffold	NCBI	SAMN03010633
Mola mola	94237	PRJNA305960	305960	GCA_001698575.1	MBDK01	5552	-	-	03/08/2016	08/08/2016	Scaffold	BGI-shenzhen	SAMN04335856
Gavia stellata	37040	PRJNA261843	261843	GCA_000690875.1	JJRM01	61831	14770	15697	03/05/2014	17/11/2016	Scaffold	NCBI	SAMN02324832
Rousettus aegyptiacus	9407	PRJNA309421	309421	GCA_001466805.2	LOCP02	2490	24986	48803	15/12/2015	17/03/2016	Scaffold	NCBI	SAMN04287759
Nipponia nippon	128390	PRJNA253829	253829	GCA_000708225.1	JMFH01	59555	15343	17089	09/05/2014	17/11/2016	Scaffold	NCBI	SAMN02596464
Podiceps cristatus	345573	PRJNA212905	212905	GCA_000699545.1	JMFS01	82923	12155	11707	07/05/2014	17/11/2016	Scaffold	BGI	SAMN02339891
Nasalis larvatus	43780	PRJNA241312	241312	GCA_000772465.1	JMHX01	319549	-	-	30/10/2014	10/11/2014	Chromosome	Proboscis Monkey Functional Genome Consortium	SAMN02689222
Rhinopithecus roxellana	61622	PRJNA266995	266995	GCA_000769185.1	JABR01	135512	28766	37291	24/10/2014	28/10/2014	Scaffold	NCBI	SAMN02427086
Neomonachus schauinslandi	29088	PRJNA392091	392091	GCA_002201575.1	NINY01	7873	24618	28381	20/06/2017	20/06/2017	Scaffold	NCBI	SAMN06841387
Ammotragus lervia	9899	PRJNA361449	361449	GCA_002201775.1	NIVO01	77320	-	-	20/06/2017	20/06/2017	Scaffold	Northwest A&F University	SAMN06233879
Enhydra lutris kenyoni	391180	PRJNA407952	407952	GCA_002288905.2	NSES01	6771	23943	36603	11/09/2017	15/09/2017	Scaffold	NCBI	SAMN07211055
Panthera pardus	9691	PRJNA355165	355165	GCA_001857705.1	LQGZ01	50377	33968	57954	24/08/2016	16/11/2016	Scaffold	NCBI	SAMN04347630
Gallirallus okinawae	547194	PRJDB4707	327647	GCA_002003005.1	BDFH01	768680	-	-	01/07/2016	01/07/2016	Contig	Laboratory of Ecogenetics, Environmental Biology Division, National Institute for Environmental Studies	SAMD00050839
Bison bison bison	43346	PRJNA266339	266339	GCA_000754665.1	JPYT01	128431	26592	35554	15/09/2014	08/10/2014	Scaffold	NCBI	SAMN02947321
Rhinopithecus bieti	61621	PRJNA339282	339282	GCA_001698545.1	MCGX01	105032	31734	49595	03/08/2016	03/08/2016	Scaffold	NCBI	SAMN02786331
Sinocyclocheilus grahami	75366	PRJNA316320	316320	GCA_001515645.1	LCYQ01	31277	54207	67410	16/12/2015	04/01/2016	Scaffold	NCBI	SAMN03320097
Pygocentrus nattereri	42514	PRJNA331139	331139	GCA_001682695.1	MAUM01	283518	28178	44364	08/07/2016	12/07/2016	Scaffold	NCBI	SAMN04522165
Chinchilla lanigera	34839	PRJNA68239	68239	GCA_000276665.1	AGCD01	2839	30308	45449	06/07/2012	06/11/2013	Scaffold	Broad Institute	SAMN00632093
Leptonychotes weddellii	9713	PRJNA232772	232772	GCA_000349705.1	APMU01	16711	25803	25718	28/03/2013	29/03/2013	Scaffold	NCBI	SAMN00672463
Lepisosteus oculatus	7918	PRJNA68247	68247	GCA_000242695.1	AHAT01	2106	21770	41647	16/12/2011	01/11/2013	Chromosome	Broad Institute	SAMN00706774
Pan paniscus	9597	PRJNA49285	49285	GCA_000258655.2	AJFE02	10984	29962	47451	30/03/2012	18/08/2015	Chromosome	Max-Planck Institute for Evolutionary Anthropology	SAMEA1029457
Notothenia coriiceps	8208	PRJNA66471	66471	GCA_000735185.1	AZAD01	38657	26863	32182	28/07/2014	22/10/2014	Scaffold	Antarctic Fish Genome Project	SAMN02206445
Pantholops hodgsonii	59538	PRJNA72465	72465	GCA_000400835.1	AGTT01	15059	31808	32279	21/05/2013	01/11/2013	Scaffold	BGI	SAMN00990743
Melopsittacus undulatus	13146	PRJNA197262	197262	GCA_000238935.1	AGAI01	25212	14536	17079	28/11/2011	11/08/2014	Scaffold	NCBI	SAMN02981360
Jaculus jaculus	51337	PRJNA72445	72445	GCA_000280705.1	AKZC01	10898	25275	25473	20/07/2012	01/11/2013	Scaffold	Broad Institute	SAMN00728442
Balaenoptera acutorostrata scammoni	310752	PRJNA72723	72723	GCA_000493695.1	ATDI01	10776	26861	34821	31/10/2013	09/01/2014	Scaffold	Korea Ocean Research & Development Institute	SAMN02192642
Cervus elaphus hippelaphus	46360	PRJNA324173	324173	GCA_002197005.1	MKHE01	11479	22846	19243	16/06/2017	19/06/2017	Chromosome	National Agricultural Research and Innovation Centre	SAMN05196248
Ailurus fulgens styani	424585	PRJNA298932	298932	GCA_002007465.1	LNAC01	11589	-	-	28/02/2017	28/02/2017	Scaffold	Institute of Zoology, Chinese Academy of Sciences	SAMN04169031
Panthera tigris altaica	74533	PRJNA236771	236771	GCA_000464555.1	ATCQ01	1479	25041	29473	05/09/2013	27/09/2013	Scaffold	NCBI	SAMN02086964
Microtus ochrogaster	79684	PRJNA72443	72443	GCA_000317375.1	AHZW01	6450	24260	30752	03/12/2012	01/11/2013	Chromosome	Broad Institute	SAMN00727831
Condylura cristata	143302	PRJNA72447	72447	GCA_000260355.1	AJFV01	2040	20019	29166	20/04/2012	01/11/2013	Scaffold	Broad Institute	SAMN00727830
Apteryx australis mantelli	202946	PRJEB6383	287231	GCA_001039765.1	-	24720	18494	22793	-	-	Scaffold	MPI-EVA	SAMEA2560515
Rhinolophus ferrumequinum	59479	PRJNA209409	209409	GCA_000465495.1	AWHA01	160500	-	-	05/09/2013	15/09/2013	Scaffold	School of Biological & Chemical Sciences, Queen Mary University of London	SAMN02213056
Serinus canaria	9135	PRJEB1766	233592	GCA_000534875.1	CAVT01	304400	17797	29964	06/01/2014	30/01/2015	Scaffold	MPI MOLGEN	SAMEA3138919
Peromyscus maniculatus bairdii	230844	PRJNA53563	53563	GCA_000500345.1	AYHN01	30921	28479	45588	26/11/2013	03/12/2013	Scaffold	Baylor College of Medicine	SAMN00848614
Sebastes rubrivinctus	72099	PRJNA62009	62009	GCA_000475215.1	AUPQ01	68206	-	-	18/10/2013	11/08/2014	Scaffold	University of Southern California	SAMN02981552
Eptesicus fuscus	29078	PRJNA232522	232522	GCA_000308155.1	ALEH01	6789	22627	24147	30/07/2012	01/11/2013	Scaffold	NCBI	SAMN00767986
Cynoglossus semilaevis	244447	PRJNA251742	251742	GCA_000523025.1	AGRG01	31181	24279	36992	24/01/2014	28/01/2014	Chromosome	NCBI	SAMN02595200
Orycteropus afer afer	1230840	PRJNA74587	74587	GCA_000298275.1	ALYB01	22509	22908	25544	17/09/2012	01/11/2013	Scaffold	Broad Institute	SAMN00744890
Chrysochloris asiatica	185453	PRJNA74591	74591	GCA_000296735.1	AMDV01	20500	32357	25227	10/09/2012	01/11/2013	Scaffold	Broad Institute	SAMN00744889
Elephantulus edwardii	28737	PRJNA74589	74589	GCA_000299155.1	AMGZ01	8768	34709	25209	20/09/2012	01/11/2013	Scaffold	Broad Institute	SAMN00749966
Octodon degus	10160	PRJNA74595	74595	GCA_000260255.1	AJSA01	7135	34039	27336	19/04/2012	01/11/2013	Scaffold	Broad Institute	SAMN00769067
Camelus ferus	419612	PRJNA76177	76177	GCA_000311805.2	AGVR01	13334	24722	31796	08/11/2012	06/11/2013	Scaffold	The Bactrian Camels Genome Sequencing and Analysis Consortium	SAMN01910617
Boleophthalmus pectinirostris	150288	PRJNA384419	384419	GCA_000788275.1	JACK01	16620	22665	25161	25/11/2014	03/12/2014	Scaffold	NCBI	SAMN03201692
Mesocricetus auratus	10036	PRJNA77669	77669	GCA_000349665.1	APMT01	21484	27367	36852	28/03/2013	29/03/2013	Scaffold	Broad Institute	SAMN00769068
Pteropus alecto	9402	PRJNA232518	232518	GCA_000325575.1	ALWS01	65598	22140	33106	17/12/2012	06/11/2013	Scaffold	NCBI	SAMN01103203
Seriola dumerili	41447	PRJDB5856	397287	GCA_002260705.1	BDQW01	34656	24086	32734	04/08/2017	04/08/2017	Scaffold	Genomic breeding group, Research Center for Aquatic Breeding, National Research Institute of aquaculture, FRA	SAMD00083043
Nannospalax galili	1026970	PRJNA254049	254049	GCA_000622305.1	AXCS01	154976	27848	38552	04/04/2014	05/06/2014	Scaffold	NCBI	SAMN02299330
Anoplopoma fimbria	229290	PRJNA202249	202249	GCA_000499045.1	AWGY01	208506	-	-	25/11/2013	25/11/2013	Contig	University of Victoria	SAMN02144194
Mus spretus	10096	PRJNA310854	310854	GCA_001624865.1	LVXV01	5404	-	-	15/04/2016	25/04/2016	Chromosome	Wellcome Trust Sanger Institute	SAMN04489830
Myodes glareolus	447135	PRJNA290429	290429	GCA_001305785.1	LIPI01	367242	-	-	02/10/2015	08/07/2016	Scaffold	University of Liverpool	SAMN03863713
Tupaia chinensis	246437	PRJNA169406	169406	GCA_000334495.1	ALAR01	50750	35882	36148	28/01/2013	13/03/2014	Scaffold	BGI	SAMN01084043
Poecilia formosa	48698	PRJNA237006	237006	GCA_000485575.1	AYCK01	3985	31585	49495	25/10/2013	11/08/2014	Scaffold	NCBI	SAMN02981564
Astyanax mexicanus	7994	PRJNA237016	237016	GCA_000372685.2	APWO02	2415	30815	42649	23/04/2013	25/09/2017	Chromosome	NCBI	SAMN02981523
Stegastes partitus	144197	PRJNA251741	251741	GCA_000690725.1	JMKM01	5818	24580	31597	12/05/2014	13/05/2014	Scaffold	NCBI	SAMN02743342
Cyprinodon variegatus	28743	PRJNA308224	308224	GCA_000732505.1	JPKM01	9259	24878	36524	17/07/2014	22/07/2014	Scaffold	NCBI	SAMN02736898
Oncorhynchus kisutch	8019	PRJNA378663	378663	GCA_002021735.1	MPKV01	22813	44786	57592	06/03/2017	06/03/2017	Chromosome	NCBI	SAMN05991263
Chlorocebus sabaeus	60711	PRJNA215854	215854	GCA_000409795.2	AQIB01	2022	35027	61803	17/05/2013	25/03/2014	Chromosome	NCBI	SAMN01760484
Austrofundulus limnaeus	52670	PRJNA294420	294420	GCA_001266775.1	LDAR01	29785	26706	35329	28/07/2015	31/07/2015	Scaffold	NCBI	SAMN03490872
Delphinapterus leucas	9749	PRJNA407951	407951	GCA_002288925.2	NQVZ01	6972	25391	49714	11/09/2017	15/09/2017	Scaffold	NCBI	SAMN06216270
Phodopus sungorus	10044	PRJNA318271	318271	GCA_001707965.1	MCBN01	1462128	-	-	18/08/2016	18/08/2016	Contig	University of Chicago	SAMN05191964
Macaca nemestrina	9545	PRJNA279145	279145	GCA_000956065.1	JZLF01	9733	37066	62876	16/03/2015	19/03/2015	Scaffold	NCBI	SAMN03121842
Geospiza fortis	48883	PRJNA217051	217051	GCA_000277835.1	AKZB01	27239	14568	16724	11/07/2012	17/11/2016	Scaffold	NCBI	SAMN00839579
Cercocebus atys	9531	PRJNA279144	279144	GCA_000955945.1	JZLG01	11433	30650	65920	16/03/2015	19/03/2015	Scaffold	NCBI	SAMN03379531
Chelonia mydas	8469	PRJNA234097	234097	GCA_000344595.1	AJIM01	140023	19323	20261	01/03/2013	11/08/2014	Scaffold	NCBI	SAMN02981410
Thunnus orientalis	8238	PRJDA68701	68701	GCA_000418415.1	BADN01	133062	-	-	27/06/2013	15/10/2015	Contig	National Research Institute of Fisheries Science	SAMD00036584
Scartelaos histophorus	166764	PRJNA232437	232437	GCA_000787155.1	JACN01	156044	-	-	25/11/2014	03/12/2014	Scaffold	BGI-shenzhen	SAMN03201693
Odobenus rosmarus divergens	9708	PRJNA167474	167474	GCA_000321225.1	ANOP01	3893	25186	31370	17/12/2012	20/04/2015	Scaffold	Marine mammals	SAMN01180787
Orcinus orca	9733	PRJNA167475	167475	GCA_000331955.2	ANOL02	1668	22496	27870	17/12/2012	20/04/2015	Scaffold	Marine mammals	SAMN01180276
Numida meleagris	8996	PRJNA352321	352321	GCA_002078875.2	MTSP01	2739	21748	43240	04/04/2017	04/04/2017	Chromosome	INRA	SAMN05969731
Falco cherrug	345164	PRJNA217049	217049	GCA_000337975.1	AKMU01	5863	15380	21235	05/02/2013	11/08/2014	Scaffold	NCBI	SAMN02981426
Vipera berus berus	31156	PRJNA170536	170536	GCA_000800605.1	JTGP01	28883	-	-	09/12/2014	10/12/2014	Scaffold	BCM-HGSC	SAMN02780930
Phylloscopus trochilus acredula	209779	PRJNA319295	319295	GCA_002305835.1	LXGM01	5995	-	-	08/06/2016	08/06/2016	Scaffold	Lund University	SAMN04881205
Sebastes nigrocinctus	72089	PRJNA171384	171384	GCA_000475235.2	AUPR02	15872	-	-	18/10/2013	21/12/2016	Scaffold	USC	SAMN02981553
Pelodiscus sinensis	13735	PRJNA221645	221645	GCA_000230535.1	AGCU01	19904	21622	32888	24/07/2012	11/08/2014	Scaffold	NCBI	SAMN02981371
Acinonyx jubatus	32536	PRJNA305718	305718	GCA_001443585.1	LLWD01	14383	25029	27284	13/11/2015	16/12/2015	Scaffold	NCBI	SAMN04127588
Myotis davidii	225400	PRJNA232515	232515	GCA_000327345.1	ALWT01	101769	26055	33106	17/12/2012	06/11/2013	Scaffold	NCBI	SAMN01103204
Poecilia mexicana	48701	PRJNA305619	305619	GCA_001443325.1	LMXC01	18105	30746	47406	12/11/2015	13/11/2015	Scaffold	NCBI	SAMN02048972
Labrus bergylta	56723	PRJEB13687	320367	GCA_900080235.1	FKLU01	13466	28378	35873	03/05/2016	03/05/2016	Scaffold	National Institute of nutrition and seafood research	SAMEA3939555
Lipotes vexillifer	118797	PRJNA174066	174066	GCA_000442215.1	AUPI01	30713	25232	26901	24/07/2013	06/08/2014	Scaffold	BGI	SAMN02953859
Hipposideros armiger	186990	PRJNA357596	357596	GCA_001890085.1	JXIK01	7571	25449	45831	06/12/2016	06/12/2016	Scaffold	NCBI	SAMN03177460
Pseudopodoces humilis	181119	PRJNA217046	217046	GCA_000331425.1	ANZD01	5406	16561	27572	09/01/2013	11/08/2014	Scaffold	NCBI	SAMN02981490
Amazona vittata	241585	PRJNA171587	171587	GCA_000332375.1	AOCU01	182974	-	-	18/01/2013	11/08/2014	Scaffold	Puerto Rican Parrot Genome Project	SAMN02981494
Leuciscus waleckii	155063	PRJEB12292	320706	GCA_900092035.1	FLSR01	4888	-	-	27/06/2016	27/06/2016	Scaffold	CHINESE ACADEMY OF FISHERY SCIENCE	SAMEA3723233
Apalone spinifera	55534	PRJNA177958	177958	GCA_000385615.1	APJP01	286620	-	-	26/04/2013	26/08/2014	Scaffold	WUGSC	SAMN03004388
Xiphophorus hellerii	8084	PRJNA290782	290782	GCA_001443345.1	LNCB01	25	-	-	13/11/2015	13/11/2015	Scaffold	McDonnell Genome Institute - Washington University School of Medicine	SAMN03968850
Clupea harengus	7950	PRJNA286317	286317	GCA_000966335.1	JZKK01	6915	25434	28335	30/03/2015	30/03/2015	Scaffold	NCBI	SAMN03154066
Crotalus horridus	35024	PRJNA181087	181087	GCA_001625485.1	LVCR01	186068	-	-	21/04/2016	21/04/2016	Scaffold	Timber Rattlesnake Genome	SAMN01815951
Thamnophis sirtalis	35019	PRJNA294278	294278	GCA_001077635.2	LFLD01	7930	20101	25180	26/06/2015	30/06/2015	Scaffold	NCBI	SAMN03759628
Hippocampus comes	109280	PRJNA359802	359802	GCA_001891065.1	LVHJ01	37377	25471	41965	08/12/2016	08/12/2016	Scaffold	NCBI	SAMN04531611
Fukomys damarensis	885580	PRJNA268209	268209	GCA_000743615.1	AYUG01	74730	29892	43907	22/08/2014	04/09/2014	Scaffold	NCBI	SAMN02339281
Xiphophorus couchianus	32473	PRJNA290781	290781	GCA_001444195.1	LNCC01	25	-	-	13/11/2015	17/11/2015	Scaffold	McDonnell Genome Institute - Washington University School of Medicine	SAMN03922721
Lethenteron camtschaticum	980415	PRJNA237018	237018	GCA_000466285.1	APJL01	86125	-	-	10/09/2013	11/08/2014	Scaffold	NCBI	SAMN02981514
Ursus maritimus	29073	PRJNA254163	254163	GCA_000687225.1	AVOR01	23819	26982	28887	08/05/2014	09/05/2014	Scaffold	NCBI	SAMN02729226
Grus japonensis	30415	PRJDB4708	327648	GCA_002002985.1	BDFG01	357545	-	-	01/07/2016	01/07/2016	Scaffold	Laboratory of Ecogenetics, Environmental Biology Division, National Institute for Environmental Studies	SAMD00050840
Balearica regulorum gibbericeps	100784	PRJNA264996	264996	GCA_000709895.1	JJRR01	53491	15122	16163	02/06/2014	17/11/2016	Scaffold	NCBI	SAMN02318095
Capreolus capreolus	9858	PRJEB4372	213099	GCA_000751575.1	CCMK01	3088511	-	-	05/09/2014	05/09/2014	Scaffold	UNIMELB	SAMEA2531521
Poecilia latipinna	48699	PRJNA305623	305623	GCA_001443285.1	LMXD01	17988	30571	47072	12/11/2015	13/11/2015	Scaffold	NCBI	SAMN02048973
Pygoscelis adeliae	9238	PRJNA261076	261076	GCA_000699105.1	JMFP01	19265	14407	16927	07/05/2014	17/11/2016	Scaffold	NCBI	SAMN02596601
Protobothrops mucrosquamatus	103944	PRJDB4386	304719	GCA_001527695.3	BCNE02	52280	21073	22660	14/01/2016	29/07/2016	Scaffold	Okinawa Institute of Science and Technology	SAMD00043515
Myotis brandtii	109478	PRJNA218631	218631	GCA_000412655.1	ANKR01	169750	28478	40808	19/06/2013	09/02/2015	Scaffold	NCBI	SAMN01801565
Alligator sinensis	38654	PRJNA221633	221633	GCA_000455745.1	AVPB01	9317	22098	28309	27/08/2013	11/08/2014	Scaffold	NCBI	SAMN02981559
Rana catesbeiana	8400	PRJNA285814	285814	GCA_002284835.1	LIAG01	2082530	-	-	18/01/2017	01/09/2017	Contig	BC Cancer Agency	SAMN03760860
Phascolarctos cinereus	38626	PRJNA384067	384067	GCA_002099425.1	MSTS01	1907	31659	46908	18/04/2017	18/04/2017	Contig	NCBI	SAMN06198159
Pampus argenteus	206143	PRJNA240272	240272	GCA_000697985.1	JHEK01	298139	-	-	03/06/2014	03/06/2016	Scaffold	Kuwait Institute for Scientific Research (KISR)	SAMN02699082
Meriones unguiculatus	10047	PRJNA391923	391923	GCA_002204375.1	NHTI01	68793	25856	38763	21/06/2017	21/06/2017	Scaffold	NCBI	SAMN06897401
Monopterus albus	43700	PRJNA380265	380265	GCA_001952655.1	AONE01	20622	23830	40334	13/01/2017	17/01/2017	Scaffold	NCBI	SAMN06219872
Anguilla rostrata	7938	PRJNA285069	285069	GCA_001606085.1	LTYT01	79209	-	-	01/04/2016	04/04/2016	Scaffold	Universite Laval	SAMN03737505
Propithecus coquereli	379532	PRJNA281642	281642	GCA_000956105.1	JZKE01	22539	22836	28194	17/03/2015	23/03/2015	Scaffold	NCBI	SAMN03121823
Eidolon helvum	77214	PRJNA209406	209406	GCA_000465285.1	AWHC01	133538	-	-	05/09/2013	13/09/2013	Scaffold	School of Biological & Chemical Sciences, Queen Mary University of London	SAMN02212690
Megaderma lyra	9413	PRJNA209407	209407	GCA_000465345.1	AWHB01	192872	-	-	05/09/2013	14/09/2013	Scaffold	School of Biological & Chemical Sciences, Queen Mary University of London	SAMN02212695
Rhincodon typus	259920	PRJNA378405	378405	GCA_001642345.2	LVEK02	57334	24529	27896	11/05/2016	03/03/2017	Scaffold	NCBI	SAMN04562461
Maccullochella peelii	135761	PRJNA290988	290988	GCA_002120245.1	LKNJ01	18198	-	-	09/05/2017	09/05/2017	Scaffold	Monash University Malaysia	SAMN03938494
Trichechus manatus latirostris	127582	PRJNA68243	68243	GCA_000243295.1	AHIN01	6323	22652	26315	20/01/2012	20/04/2015	Scaffold	Broad Institute	SAMN00632092
Ceratotherium simum simum	73337	PRJNA74583	74583	GCA_000283155.1	AKZM01	3087	25570	33629	30/07/2012	01/11/2013	Scaffold	Broad Institute	SAMN00778988
Anser cygnoides domesticus	381198	PRJNA290577	290577	GCA_000971095.1	AOGC01	7593	20800	31811	08/04/2015	07/05/2015	Scaffold	NCBI	SAMN01830643
Egretta garzetta	188379	PRJNA253831	253831	GCA_000687185.1	JJRC01	11791	14431	15934	29/04/2014	17/11/2016	Scaffold	NCBI	SAMN02596466
Equus przewalskii	9798	PRJNA253941	253941	GCA_000696695.1	ATBW01	53097	26953	38416	30/05/2014	05/06/2014	Scaffold	NCBI	SAMN02808398
Tyto alba	56313	PRJNA263629	263629	GCA_000687205.1	JJRD01	62122	13995	14896	30/04/2014	17/11/2016	Scaffold	NCBI	SAMN02339894
Phaethon lepturus	97097	PRJNA265998	265998	GCA_000687285.1	JJRF01	66785	15174	16216	30/04/2014	17/11/2016	Scaffold	NCBI	SAMN02339888
Cavia aperea	37548	PRJNA212237	212237	GCA_000688575.1	AVPZ01	3131	-	-	21/01/2014	23/01/2014	Scaffold	Leibniz Institute for Zoo and Wildlife research	SAMN02252454
Pelecanus crispus	36300	PRJNA253833	253833	GCA_000687375.1	JJRG01	63982	15382	16298	01/05/2014	17/11/2016	Scaffold	NCBI	SAMN02339887
